iter	RMSE
626	8476.093902
627	8455.661179
628	8445.620956
629	8425.774888
630	8416.951198
631	8410.247848
632	8398.598539
633	8390.68639
634	8374.770029
635	8360.837718
636	8343.495224
637	8325.701373
638	8324.719492
639	8324.026393
640	8307.444974
641	8294.808859
642	8280.485346
643	8272.390141
644	8263.897207
645	8251.473882
646	8233.735235
647	8224.828076
648	8222.700647
649	8213.870292
650	8201.898677
651	8193.520023
652	8180.920937
653	8170.578023
654	8154.624269
655	8153.89252
656	8151.767633
657	8135.210707
658	8124.875986
659	8110.772092
660	8108.550287
661	8091.171777
662	8081.341642
663	8061.839059
664	8050.750537
665	8038.27972
666	8037.593225
667	8019.211888
668	8014.434958
669	7999.320622
670	7980.799642
671	7972.198054
672	7959.337465
673	7948.094284
674	7936.552216
675	7926.109581
676	7913.053215
677	7912.347147
678	7899.540668
679	7898.350428
680	7884.740873
681	7870.150984
682	7862.386906
683	7852.30022
684	7835.42082
685	7824.53451
686	7823.777897
687	7811.80949
688	7789.8284
689	7789.154797
690	7779.136949
691	7769.981622
692	7762.9493
693	7762.403717
694	7749.851507
695	7739.810612
696	7731.139429
697	7727.076458
698	7717.830345
699	7716.56716
700	7708.879338
701	7701.224566
702	7692.194969
703	7682.333934
704	7671.09594
705	7660.731535
706	7645.17189
707	7632.153777
708	7631.499812
709	7630.189622
710	7626.268077
711	7625.496127
712	7614.500989
713	7598.288186
714	7589.6476
715	7582.21969
716	7570.567498
717	7556.693388
718	7547.819747
719	7547.046663
720	7533.669554
721	7524.307023
722	7512.753722
723	7512.167131
724	7501.470278
725	7492.394386
726	7483.133015
727	7468.667412
728	7457.540899
729	7448.001036
730	7433.255549
731	7418.910101
732	7410.723491
733	7410.266751
734	7395.904894
735	7378.715554
736	7361.262642
737	7360.398353
738	7345.991251
739	7335.959661
740	7326.715689
741	7326.238416
742	7319.203687
743	7303.235269
744	7292.033839
745	7281.021391
746	7268.461963
747	7254.787819
748	7242.243868
749	7232.865603
750	7219.816057
751	7212.964166
752	7200.198575
753	7190.983154
754	7182.418288
755	7169.521737
756	7160.39326
757	7147.285827
758	7146.737471
759	7136.89487
760	7130.519491
761	7121.294319
762	7111.465916
763	7102.919287
764	7094.00328
765	7086.267363
766	7085.593407
767	7075.7833
768	7065.486589
769	7055.24261
770	7044.534082
771	7043.984128
772	7036.47478
773	7026.093606
774	7017.785522
775	7011.472877
776	6997.022924
777	6991.242147
778	6977.442295
779	6969.09088
780	6960.497782
781	6953.921543
782	6942.289876
783	6930.756211
784	6920.249395
785	6911.79941
786	6900.589764
787	6896.376213
788	6889.058016
789	6875.452329
790	6867.078511
791	6855.326747
792	6847.457558
793	6840.433786
794	6832.123706
795	6821.009399
796	6810.561784
797	6798.073794
798	6789.260691
799	6783.887984
800	6776.738254
801	6763.464217
802	6753.733086
803	6742.057278
804	6732.545479
805	6728.210903
806	6720.140239
807	6716.41797
808	6708.389409
809	6700.465329
810	6698.517451
811	6690.950338
812	6683.365504
813	6682.225483
814	6673.238555
815	6665.78634
816	6659.114562
